"","Item_5","Item_6","Item_7","Item_8","Item_17","Item_18","Item_19","Item_20","Item_29","Item_30","Item_31","Item_32","Item_9","Item_10","Item_11","Item_12","Item_21","Item_22","Item_23","Item_24","Item_33","Item_34","Item_35","Item_36","Item_13","Item_14","Item_15","Item_16","Item_25","Item_26","Item_27","Item_28","Item_1","Item_2","Item_3","Item_4"
"8",3,3,5,3,5,5,5,4,6,5,5,5,5,5,6,4,5,5,6,3,5,5,4,6,4,5,5,3,4,6,5,5,4,4,4,4
"13",4,2,4,3,5,4,5,3,5,4,5,5,5,5,3,2,4,5,5,4,5,5,5,4,4,3,3,4,5,5,3,5,4,5,5,5
"17",3,3,5,4,5,5,5,4,5,5,6,5,6,3,6,2,6,5,6,5,6,6,5,6,5,5,1,5,5,6,5,6,6,3,5,3
"23",1,3,4,2,4,4,4,2,3,4,4,3,2,2,5,3,3,4,5,5,4,4,3,5,4,3,4,5,1,2,2,4,5,2,5,2
"25",2,1,4,2,3,3,1,1,3,5,4,1,5,1,2,1,3,1,5,5,4,3,4,5,1,2,1,2,1,2,1,3,2,4,3,4
"30",5,5,5,3,5,3,5,3,4,5,5,2,3,2,5,1,5,4,5,4,5,5,5,6,3,4,2,3,5,5,2,5,2,2,5,2
"33",4,3,5,3,5,4,5,3,6,5,6,6,4,4,5,5,4,6,6,3,6,5,6,5,2,3,4,5,6,6,5,5,3,4,5,4
"36",1,1,5,2,3,2,5,1,2,5,5,4,6,4,5,2,3,4,5,3,6,6,1,5,5,1,2,2,4,1,2,2,3,6,4,6
"37",4,4,3,4,5,4,5,5,6,6,6,6,2,2,5,2,5,5,5,4,5,6,5,5,3,3,3,2,5,4,3,5,4,4,5,4
"47",1,1,5,2,4,2,6,2,4,6,5,4,6,5,4,2,4,4,6,4,5,5,4,5,5,1,3,2,2,4,1,6,2,6,5,6
"51",4,4,6,6,5,6,6,4,6,6,6,6,6,3,4,3,6,6,6,5,6,6,6,6,5,6,3,6,6,6,6,6,4,3,6,3
"52",4,3,5,4,4,5,4,5,6,6,6,5,6,3,5,3,5,5,5,5,6,5,5,6,3,5,2,5,5,5,6,6,5,4,5,4
"55",2,3,6,4,5,5,6,1,6,6,6,6,5,4,5,6,4,5,6,5,6,6,6,6,6,4,2,5,6,6,6,6,6,2,5,2
"57",1,2,4,2,4,2,4,3,4,4,5,5,3,5,6,3,3,5,5,5,5,3,6,5,5,2,3,5,5,4,3,5,5,3,5,3
"61",4,3,5,3,5,3,5,5,5,5,5,5,5,4,5,4,5,5,5,3,5,5,5,5,4,5,2,5,5,5,5,5,4,3,5,3
"65",2,1,5,5,6,4,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,2,2,5,6,6,5,6,6,4,4,4
"67",5,3,5,3,5,5,6,4,5,4,6,5,4,5,5,3,4,5,5,5,6,5,5,5,3,5,4,3,4,4,4,3,4,6,4,6
"77",5,2,6,4,5,5,4,2,5,5,5,5,3,4,4,2,3,5,5,4,6,5,6,4,3,4,NA,4,5,3,4,4,3,4,4,4
"80",2,2,5,3,4,3,5,3,6,2,5,4,5,4,5,3,6,4,5,5,4,5,5,4,3,3,3,3,4,5,2,5,2,5,4,4
"84",5,5,5,4,5,5,6,3,5,5,6,6,6,2,4,2,5,4,5,2,5,5,6,5,3,6,4,5,4,4,6,4,5,5,6,6
"90",2,2,5,4,5,5,5,3,5,5,5,4,2,5,5,4,3,5,5,4,4,5,5,5,5,3,3,5,4,4,3,5,5,2,4,2
"97",2,4,5,3,4,4,5,5,5,4,5,4,5,4,2,2,5,5,6,4,5,6,5,5,3,5,2,4,4,3,3,4,2,2,5,2
"100",4,1,4,1,5,1,1,1,5,4,5,5,2,2,3,2,5,5,5,3,5,4,4,3,3,1,1,2,2,2,2,4,3,1,1,2
"103",2,2,4,5,5,4,4,4,5,4,5,5,5,2,2,4,3,3,5,3,5,4,5,4,4,3,2,3,5,5,5,4,5,2,5,2
"105",2,1,4,2,3,2,2,5,4,5,2,2,3,2,5,2,3,2,5,4,4,4,5,5,4,5,4,4,2,2,2,2,3,1,2,1
"110",1,1,4,1,4,1,2,2,4,2,5,3,2,2,5,2,5,4,5,3,5,5,2,4,2,1,2,3,1,2,1,3,2,1,2,1
"111",1,1,5,1,1,1,6,3,1,6,4,1,2,2,6,2,6,6,6,5,4,6,4,4,3,1,1,4,1,2,2,1,2,5,1,6
"115",3,NA,NA,5,4,4,3,3,5,1,4,5,4,NA,NA,3,NA,5,5,1,5,3,5,6,5,4,5,4,1,4,6,5,4,5,4,5
"120",2,3,5,4,5,5,6,3,6,6,6,6,5,5,3,3,5,5,6,5,6,5,5,5,3,3,2,3,5,5,5,5,2,5,5,5
"125",5,3,4,5,6,5,6,3,6,6,6,6,5,6,2,3,5,5,6,5,6,6,6,6,3,5,3,4,6,6,6,6,4,4,5,3
"130",3,2,5,4,5,5,4,3,4,4,5,4,5,4,5,4,5,5,5,5,5,5,5,4,5,3,5,4,3,3,3,4,4,3,5,3
"135",3,3,4,3,3,3,3,2,5,3,5,4,5,4,5,4,4,4,5,4,5,5,4,5,5,3,2,5,4,2,3,5,5,5,4,5
"138",2,3,5,1,5,1,6,1,5,2,2,2,5,6,5,2,5,4,5,2,2,5,5,3,4,2,3,3,3,1,1,1,3,5,3,4
"141",5,2,5,5,5,5,5,5,6,6,6,6,6,2,6,3,5,5,6,5,6,6,6,6,2,3,5,5,6,6,6,6,NA,2,5,2
"144",3,1,4,3,4,2,4,5,6,4,5,6,4,2,4,2,5,4,5,5,5,4,5,5,1,6,3,6,3,6,4,5,2,3,5,3
"148",4,2,5,3,5,4,6,1,5,2,6,5,4,3,5,3,5,5,6,4,6,6,5,4,5,3,4,2,2,2,3,2,5,2,5,2
"151",3,2,5,4,5,4,5,4,5,6,4,5,6,5,5,5,6,5,6,5,5,6,5,5,5,3,5,5,4,3,4,4,4,6,5,6
"158",1,1,5,1,5,1,5,NA,4,3,1,1,5,5,6,4,5,5,6,5,5,6,5,5,5,2,1,3,4,1,2,3,5,2,3,4
"167",1,1,4,3,3,2,4,3,1,4,6,4,3,4,2,1,3,5,4,4,6,6,2,5,1,3,4,2,2,1,1,2,1,2,2,2
"175",2,2,6,2,3,2,2,1,3,3,4,2,4,3,6,5,2,4,6,4,5,4,5,5,5,2,5,2,5,4,1,1,5,2,2,2
"180",5,3,6,5,5,6,6,5,6,NA,6,6,5,4,3,2,5,6,6,4,6,6,6,6,4,5,5,4,6,6,6,6,4,4,5,4
"183",3,4,5,4,5,5,4,5,4,1,5,4,4,3,5,5,4,4,5,5,5,4,5,2,6,3,2,5,5,3,3,4,5,2,5,2
"187",3,4,5,4,5,5,5,4,5,5,5,5,5,3,4,3,5,4,6,4,5,6,5,5,5,5,2,5,5,6,4,5,3,5,5,4
"190",2,3,4,3,5,3,5,5,5,4,5,5,4,3,5,2,6,5,5,5,5,4,5,5,4,5,4,5,5,6,5,4,2,2,4,2
"197",3,2,4,5,4,5,5,2,5,3,6,6,4,3,4,2,6,5,6,6,5,5,6,5,5,3,2,4,5,5,4,5,2,2,6,2
"201",2,2,5,3,4,3,5,1,4,4,6,4,6,6,6,5,6,5,6,6,6,6,5,2,6,1,4,5,3,3,3,5,6,6,6,6
"202",1,3,6,5,5,4,5,5,5,5,5,5,6,4,5,4,5,5,6,5,6,6,5,6,5,4,2,5,4,6,3,6,5,4,6,2
"208",4,3,6,3,5,5,6,3,1,5,6,5,6,6,5,3,1,6,6,5,6,6,1,4,5,3,4,5,1,1,1,1,2,2,2,2
"211",3,3,4,2,4,4,3,5,5,6,5,6,2,3,5,4,3,6,5,3,5,5,5,5,3,5,4,3,4,4,5,5,4,3,4,2
"214",2,2,4,3,5,4,4,4,3,5,5,4,5,4,5,2,5,5,6,5,4,4,4,5,4,3,2,4,5,4,5,4,4,1,5,2
"217",6,3,6,6,6,6,6,6,6,6,6,6,6,2,5,2,6,6,6,3,6,6,6,6,6,5,5,4,6,6,6,6,5,2,6,2
"232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,NA,NA,NA,NA,4,1,3,1,2,4,3,4,6,5,4,5
"244",1,3,3,1,3,3,3,3,4,2,4,4,6,5,3,1,4,4,4,3,4,4,4,2,4,4,3,3,4,3,2,3,2,6,5,6
"255",5,5,6,5,6,5,5,6,6,5,5,5,4,2,6,6,5,6,5,6,5,5,6,6,5,6,3,5,6,6,6,4,6,1,5,2
"257",5,5,6,5,6,5,6,3,6,3,6,6,6,6,5,2,5,5,6,3,6,5,5,5,5,3,6,3,6,5,5,5,2,6,6,5
"258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278",3,1,6,3,6,3,5,3,5,4,6,6,2,5,6,6,3,6,4,1,6,6,6,4,4,1,6,3,1,4,3,4,6,6,6,6
"282",2,2,2,2,4,2,4,2,3,2,2,5,4,2,5,5,5,5,6,5,5,4,4,4,5,5,3,4,1,1,1,2,5,2,4,2
"293",3,1,5,4,4,5,5,3,5,4,5,5,5,4,5,5,NA,5,6,5,5,5,5,4,5,3,5,5,2,5,2,5,4,4,6,4
"296",6,2,5,5,5,5,5,3,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,4
"301",4,1,4,4,5,3,4,2,3,4,4,4,3,3,4,2,4,4,6,4,4,4,4,4,3,2,4,4,4,3,1,4,4,4,4,5
"304",5,4,4,3,5,4,6,4,6,3,4,6,4,4,6,5,6,6,6,4,6,5,6,4,5,5,6,4,6,6,NA,6,3,5,5,5
"310",3,4,3,5,6,6,4,4,6,6,6,6,3,4,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,1,6,6,3,5,2
"317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319",4,5,3,5,5,6,5,5,6,4,6,5,6,2,5,6,6,6,6,6,6,6,6,6,5,4,3,5,6,6,6,6,6,2,5,1
"324",6,3,6,5,6,6,4,4,5,6,6,3,4,1,2,1,6,6,6,4,6,6,5,5,3,4,6,5,6,4,3,5,3,6,4,6
"326",2,3,6,2,4,2,5,1,4,4,5,3,4,1,6,1,4,4,5,5,5,6,5,5,1,3,1,2,4,3,3,6,1,1,5,1
"332",2,2,4,3,4,3,4,1,5,2,5,3,4,4,5,4,4,5,5,4,6,5,4,5,4,2,3,4,4,3,3,3,3,5,3,5
"4",2,2,5,3,4,2,3,3,4,NA,3,4,4,2,1,2,4,2,3,2,4,5,2,3,2,3,4,2,1,3,2,4,3,4,4,5
"7",4,2,2,4,4,2,5,2,5,5,6,5,6,2,6,6,6,5,6,3,5,6,5,5,5,4,2,5,2,4,3,4,5,5,5,5
"11",1,1,5,3,4,2,5,1,5,5,5,4,4,3,6,5,4,4,5,3,5,4,6,5,4,2,3,4,2,3,1,4,5,4,5,4
"16",1,2,4,4,5,4,6,5,6,6,6,6,6,5,5,4,6,5,6,5,6,6,6,6,5,5,3,6,6,6,6,6,5,4,5,4
"18",2,1,3,3,2,2,2,3,5,6,5,4,3,2,3,2,1,4,4,1,4,5,4,6,1,2,1,3,2,2,1,2,1,3,5,2
"20",2,2,2,4,4,4,2,3,5,3,6,5,6,4,5,5,5,5,6,3,5,4,6,6,5,4,4,5,1,2,5,5,5,4,4,4
"26",4,4,6,5,5,5,6,5,5,6,6,4,5,4,3,2,4,5,6,5,6,5,5,4,5,5,5,5,3,5,2,6,4,6,6,6
"29",2,3,4,3,4,3,3,3,5,5,4,4,3,2,4,3,3,4,5,4,5,4,4,4,2,3,2,3,4,4,3,3,3,3,4,3
"39",3,1,5,5,3,5,2,4,4,6,4,5,5,4,5,6,4,3,6,NA,4,6,5,5,6,2,4,5,5,6,3,5,4,4,5,3
"42",3,2,5,5,6,5,5,5,5,4,6,6,5,4,5,4,5,6,6,5,6,6,5,3,6,5,2,6,5,4,4,5,4,3,6,1
"44",4,2,5,5,5,4,3,2,4,2,3,5,3,5,5,4,5,3,6,5,5,5,4,4,5,4,2,3,5,3,3,5,4,3,5,3
"45",1,3,4,3,4,3,3,4,2,6,4,3,3,1,6,2,3,4,4,4,5,4,4,5,2,3,3,2,2,3,1,3,2,2,2,1
"50",4,4,6,4,5,4,3,2,4,3,4,4,5,4,5,3,4,4,5,3,4,4,4,4,4,4,4,5,3,3,3,3,5,3,6,3
"56",1,2,4,2,3,2,5,3,5,4,5,6,6,5,3,2,3,5,6,3,5,5,5,5,4,2,2,2,5,3,3,4,1,5,2,5
"58",2,4,5,4,5,4,5,2,4,5,5,5,5,1,5,3,5,5,6,4,5,5,3,3,5,4,5,4,4,4,3,5,4,2,5,2
"62",2,2,4,2,3,2,2,4,4,5,3,2,2,2,5,2,1,3,5,2,5,5,5,5,2,4,2,3,1,4,3,2,1,2,4,2
"64",1,1,5,3,6,3,6,4,5,6,5,6,2,1,6,6,5,4,6,4,5,6,4,6,6,3,6,6,3,4,3,4,6,1,5,1
"70",5,5,5,4,6,5,6,6,6,6,6,6,6,6,5,4,6,5,6,4,6,6,6,6,6,6,5,5,6,6,6,6,6,5,6,5
"72",3,1,4,3,4,3,5,2,4,4,4,4,5,5,6,4,5,4,5,3,4,5,4,5,5,3,5,4,3,4,3,4,5,5,6,5
"76",2,2,4,5,5,5,5,3,5,2,5,3,5,2,5,2,5,6,5,5,5,5,5,5,4,4,4,5,6,5,3,5,5,6,5,4
"78",3,5,6,1,4,4,6,1,4,5,4,5,6,2,2,2,6,6,6,5,5,5,3,3,2,5,5,3,3,5,3,4,2,6,4,6
"83",4,4,4,4,5,4,6,5,6,5,6,6,6,5,3,3,4,6,6,5,6,4,5,5,3,4,4,3,5,4,5,4,2,4,5,4
"86",3,3,6,5,6,5,6,5,6,6,6,6,3,1,2,1,5,6,6,6,6,6,6,5,4,5,5,5,6,6,5,6,2,4,5,4
"92",4,2,5,4,5,3,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,4,5,3,4,5,5,4,5,4,2,5,2
"93",2,1,5,3,3,4,3,4,4,6,4,4,4,1,3,3,4,4,6,4,4,5,4,6,4,4,2,5,1,4,2,3,4,1,6,2
"96",3,3,5,4,4,4,4,4,5,3,5,5,5,2,5,3,5,5,5,4,5,4,5,3,4,3,3,5,5,2,3,3,4,3,5,3
"99",1,1,5,2,2,1,2,6,1,1,2,1,1,1,3,1,1,1,1,1,3,2,1,1,1,1,1,1,3,2,1,2,1,5,2,6
"104",2,1,4,4,5,4,5,1,5,5,5,5,5,6,5,2,4,5,5,4,5,6,5,4,3,2,3,3,5,5,3,5,3,4,4,4
"106",5,2,5,4,4,4,5,3,6,6,6,5,5,3,5,5,5,6,5,5,6,5,6,5,2,3,4,4,5,6,4,5,5,4,5,3
"114",3,4,6,3,5,4,6,3,6,6,6,6,6,6,4,3,5,6,6,3,5,5,5,5,5,2,4,3,5,5,5,5,3,4,5,4
"117",2,6,5,3,4,2,2,1,4,1,4,2,4,2,2,4,2,2,6,4,4,4,3,2,2,2,5,2,1,4,2,2,3,5,2,6
"122",4,4,6,5,5,5,6,3,2,6,6,5,5,5,6,2,4,5,6,2,6,6,5,5,5,4,5,6,4,2,1,4,4,6,6,6
"124",4,4,4,4,5,4,5,3,6,6,6,6,4,4,5,3,5,5,6,4,5,6,6,6,4,5,3,4,6,6,5,5,4,4,5,4
"127",4,3,5,4,5,5,5,3,4,3,4,4,4,6,5,4,3,5,5,3,5,5,4,2,4,5,4,4,2,3,1,4,3,3,4,3
"128",2,2,5,3,5,4,5,4,5,6,6,5,5,5,5,2,4,5,5,4,4,4,4,5,4,2,4,5,1,4,2,4,5,4,4,4
"134",2,3,4,3,5,3,4,4,3,2,4,4,4,2,4,3,4,3,5,4,5,5,3,4,4,4,2,4,3,4,3,4,3,5,4,4
"139",3,3,6,4,5,5,5,5,5,4,6,4,6,6,3,3,5,6,6,6,6,6,5,4,5,5,6,5,2,4,5,4,4,4,6,4
"145",4,2,3,4,5,4,6,3,5,2,6,5,5,6,4,3,4,6,6,5,6,5,5,3,5,3,5,5,5,3,3,2,3,4,5,4
"154",5,2,4,4,4,3,4,4,5,5,4,4,4,3,3,2,3,4,4,3,5,5,5,4,3,4,2,3,5,5,4,5,3,2,3,2
"157",3,2,6,6,5,5,5,4,6,NA,6,5,4,3,6,2,5,4,5,5,5,5,5,5,3,3,4,5,4,3,5,5,5,4,5,4
"160",2,5,6,5,5,6,5,3,6,6,6,6,5,5,6,6,5,6,6,6,NA,6,6,6,5,4,3,5,5,NA,5,6,NA,3,6,2
"163",3,1,4,2,4,4,4,2,5,5,4,4,5,5,6,4,4,5,5,4,5,5,5,5,4,3,2,4,2,4,3,4,2,4,4,4
"168",1,3,6,1,5,2,4,3,5,5,5,6,4,1,2,4,5,6,4,5,5,4,5,5,3,3,4,4,NA,2,3,NA,2,3,4,3
"169",1,2,6,1,5,1,6,2,1,6,6,5,5,1,1,1,1,1,2,2,6,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1
"171",4,1,4,5,6,5,5,3,5,4,5,4,6,6,6,5,6,5,5,5,6,5,5,4,5,3,5,5,5,3,5,5,4,3,6,3
"172",6,1,6,5,5,6,6,4,6,6,5,4,6,6,5,3,5,5,6,5,5,6,6,5,5,3,3,3,5,4,6,4,2,6,5,6
"179",4,3,5,5,5,6,6,1,6,6,6,6,6,3,5,5,5,6,6,5,5,6,6,5,5,3,2,6,6,5,6,6,4,5,5,6
"185",3,2,5,2,5,2,4,3,5,5,5,6,3,4,5,1,5,4,6,4,6,6,5,3,5,5,4,5,5,5,4,6,6,6,5,6
"189",1,1,6,1,5,1,3,2,4,1,5,3,6,1,6,3,6,4,5,5,4,6,6,6,6,1,1,3,4,1,2,2,6,4,6,4
"192",3,3,4,4,5,4,4,5,5,5,4,5,4,5,5,4,5,5,5,4,5,4,5,5,3,5,2,3,5,5,5,5,3,5,4,4
"195",3,2,4,2,2,2,2,2,3,4,2,4,4,3,3,2,4,2,5,4,5,5,2,4,4,3,2,4,1,2,2,2,5,4,5,4
"199",3,3,3,3,4,3,4,3,5,5,5,4,2,3,5,1,4,3,4,3,5,5,4,5,3,4,5,4,4,4,5,3,2,2,4,2
"205",4,3,3,1,3,3,5,3,4,5,5,5,3,2,3,2,5,5,5,3,6,5,5,3,4,4,3,2,6,5,5,4,4,5,3,2
"213",4,3,6,4,4,3,6,2,5,6,4,4,6,4,4,1,6,6,6,3,5,4,1,3,5,2,4,3,4,4,3,4,4,6,6,6
"219",2,2,6,2,5,2,5,1,1,1,5,3,6,6,3,4,5,6,6,4,6,5,1,1,5,5,4,4,2,1,1,1,5,2,6,2
"226",1,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,3
"238",3,4,5,4,5,5,4,3,5,6,5,4,4,4,5,5,5,4,5,3,5,5,4,4,5,3,3,5,2,4,2,5,4,5,5,5
"240",5,2,4,5,5,5,5,2,NA,NA,NA,NA,5,5,4,5,5,5,5,5,NA,NA,NA,NA,5,3,5,5,NA,NA,NA,NA,4,5,5,5
"249",NA,NA,NA,NA,3,5,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,3,5,6,2,NA,NA,NA,NA,2,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA
"259",3,3,3,3,3,4,2,3,4,3,4,4,4,3,3,3,3,3,5,3,3,3,3,4,3,5,4,5,3,3,3,4,3,3,2,4
"268",4,3,4,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,5,2,5,5,5,5,4,5,2,5,5,5,5,5,5,4,5,4
"286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303",1,3,4,1,3,1,3,1,1,5,2,1,4,3,6,1,4,1,5,4,4,4,1,2,3,2,2,2,1,1,1,3,2,2,3,2
"306",3,4,5,4,5,3,5,5,6,5,6,6,3,4,3,3,5,5,6,5,6,6,6,6,5,5,2,5,6,6,6,6,5,2,6,2
"311",4,3,5,4,5,5,5,2,6,5,5,5,5,5,6,3,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,4,5,4
"321",2,1,2,2,4,1,2,2,5,5,5,5,5,2,5,3,3,4,5,5,6,5,5,4,4,3,2,5,1,5,1,4,4,2,5,2
"327",5,2,5,5,5,5,5,4,6,6,5,5,5,5,5,5,4,5,6,5,5,5,6,5,5,3,5,5,6,6,2,6,5,5,5,5
"329",2,2,5,4,4,4,4,3,5,5,5,5,2,4,5,3,3,4,5,5,4,5,4,5,3,3,3,4,5,5,5,5,4,5,5,5
